features,recall,precision,f1,pr_auc,n_features
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'V18', 'V7', 'V5', 'V9', 'V12', 'V4', 'V21', 'V19', 'V1', 'V3', 'V6']",0.9285714285714286,0.055896805896805894,0.10544611819235226,0.7451269538579108,17
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'V18', 'V7', 'V5', 'V9', 'V12', 'V4', 'V21']",0.9183673469387755,0.05363528009535161,0.10135135135135136,0.7445297441013642,13
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'V18', 'V7', 'V5', 'V9', 'V12', 'V4', 'V21', 'V19', 'V1', 'V3']",0.9285714285714286,0.05449101796407185,0.10294117647058823,0.7444325273862104,16
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'V18', 'V7', 'V5', 'V9', 'V12', 'V4']",0.9183673469387755,0.05454545454545454,0.10297482837528604,0.7442329469680656,12
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'V18', 'V7', 'V5', 'V9', 'V12', 'V4', 'V21', 'V19']",0.9183673469387755,0.05474452554744526,0.10332950631458095,0.7442213060044498,14
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'V18', 'V7', 'V5', 'V9', 'V12', 'V4', 'V21', 'V19', 'V1']",0.9183673469387755,0.05545286506469501,0.10459035444509006,0.7437277735252124,15
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'V18', 'V7', 'V5', 'V9', 'V12', 'V4', 'V19']",0.9183673469387755,0.05649717514124294,0.10644589000591366,0.7431848475131203,13
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'V18', 'V7', 'V5', 'V9', 'V12', 'V4', 'V21', 'V19', 'V20']",0.9183673469387755,0.055693069306930694,0.10501750291715285,0.7419657133669497,15
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'V18', 'V7', 'V5', 'V9', 'V12', 'V21']",0.8979591836734694,0.061366806136680614,0.11488250652741515,0.7417824852802567,12
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'V18', 'V7', 'V5', 'V9', 'V12', 'V4', 'V21', 'V19', 'V6']",0.9183673469387755,0.05714285714285714,0.10759115361625822,0.7416455528352334,15
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'V18', 'V7', 'V5', 'V9', 'V12', 'V11']",0.8979591836734694,0.057856673241288625,0.10870907967881409,0.741352007161793,12
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'V18', 'V7', 'V5', 'V9', 'V12', 'V4', 'V21', 'V19', 'V1', 'V6']",0.9285714285714286,0.057304785894206546,0.10794780545670225,0.7411005261902189,16
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'V18', 'V7', 'V5', 'V9', 'V12', 'V4', 'V21', 'V1']",0.9183673469387755,0.05583126550868486,0.10526315789473684,0.7408021709104636,14
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'V18', 'V7', 'V5', 'V9', 'V12', 'V4', 'V21', 'V6']",0.9183673469387755,0.054844606946983544,0.10350776308223117,0.7405499183893202,14
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'V18', 'V7', 'V5', 'V9', 'V12', 'V20']",0.8979591836734694,0.06132404181184669,0.11480756686236138,0.7402427003949986,12
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'V18', 'V7', 'V5', 'V9', 'V12']",0.8979591836734694,0.061366806136680614,0.11488250652741515,0.7400023467565111,11
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'V18', 'V7', 'V5', 'V9', 'V12', 'V4', 'V6']",0.9183673469387755,0.055658627087198514,0.10495626822157435,0.7397223937701274,13
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'V18', 'V7', 'V5', 'V9', 'V12', 'V6']",0.8979591836734694,0.06015037593984962,0.11274823830877642,0.7390707873780247,12
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'V18', 'V7', 'V5', 'V9', 'V20']",0.8877551020408163,0.06723338485316847,0.125,0.7390529331475028,11
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2']",0.8877551020408163,0.06636155606407322,0.12349183818310859,0.7388301654704664,6
