features,recall,precision,f1,pr_auc,n_features
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V21', 'V7']",0.8979591836734694,0.06219081272084806,0.1163251817580965,0.7454816956554512,11
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V21', 'V7', 'V20']",0.8979591836734694,0.06267806267806268,0.11717709720372836,0.7453616566516588,12
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V21']",0.8979591836734694,0.06294706723891273,0.11764705882352941,0.7450999644230681,10
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V21', 'V20']",0.8979591836734694,0.06285714285714286,0.11748998664886515,0.7450982360229734,11
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V7']",0.8979591836734694,0.06390704429920116,0.11932203389830509,0.7442797660970644,10
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V21', 'V6']",0.8979591836734694,0.06367583212735166,0.11891891891891893,0.7436578919119474,11
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12']",0.8979591836734694,0.06432748538011696,0.12005457025920874,0.7435874405406497,9
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V21', 'V7', 'V20', 'V18']",0.8979591836734694,0.06258890469416785,0.11702127659574468,0.7435264459666998,13
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V21', 'V7', 'V18']",0.8979591836734694,0.06219081272084806,0.1163251817580965,0.7435187058580801,12
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V21', 'V18']",0.8979591836734694,0.06219081272084806,0.1163251817580965,0.7433202557155073,11
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V20']",0.8979591836734694,0.06470588235294118,0.12071330589849108,0.7430601106495958,10
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V21', 'V7', 'V20', 'V6']",0.8979591836734694,0.06344628695025234,0.11851851851851852,0.7425361609847709,13
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V21', 'V7', 'V6']",0.8979591836734694,0.06344628695025234,0.11851851851851852,0.7425047010351058,12
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V6']",0.8979591836734694,0.06340057636887608,0.11843876177658143,0.7419702245858586,10
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V21', 'V11']",0.8979591836734694,0.06073153899240856,0.11376858435681965,0.7417828842774019,11
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V21', 'V7', 'V20', 'V11']",0.8979591836734694,0.0608154803040774,0.113915857605178,0.7417286835009866,13
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V21', 'V7', 'V11']",0.8979591836734694,0.06073153899240856,0.11376858435681965,0.7417232703884594,12
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V21', 'V7', 'V20', 'V5']",0.8979591836734694,0.06179775280898876,0.11563731931668857,0.7416206128925001,13
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V21', 'V7', 'V20', 'V19']",0.8979591836734694,0.06344628695025234,0.11851851851851852,0.741433429670748,13
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V21', 'V7', 'V19']",0.8979591836734694,0.06344628695025234,0.11851851851851852,0.7414049164505591,12
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V21', 'V19']",0.8979591836734694,0.06330935251798561,0.11827956989247312,0.7414013000675265,11
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V21', 'V7', 'V5']",0.8979591836734694,0.06162464985994398,0.11533420707732635,0.7413830036120681,12
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V11']",0.8979591836734694,0.06205923836389281,0.11609498680738786,0.7405526706066539,10
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V21', 'V7', 'V20', 'V18', 'V5', 'V11']",0.8979591836734694,0.05644644002565747,0.10621605310802655,0.7401462431893941,15
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V21', 'V7', 'V20', 'V18', 'V5']",0.8979591836734694,0.061495457721872815,0.11510791366906475,0.7400406866722196,14
"['V17', 'V14', 'V10', 'V8', 'V16', 'V2', 'Amount', 'V9', 'V12', 'V18']",0.8979591836734694,0.0641399416909621,0.11972789115646258,0.739915141835591,10
