features,recall,precision,f1,pr_auc,n_features
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V12']",0.8918918918918919,0.05196850393700787,0.09821428571428571,0.5943619974781957,8
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8']",0.8918918918918919,0.044897959183673466,0.08549222797927461,0.558074453135007,6
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'Amount']",0.8918918918918919,0.04618614415675298,0.08782435129740519,0.5655799069860116,9
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'V11']",0.8918918918918919,0.05441055234954658,0.10256410256410256,0.5725298500744483,10
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'V12']",0.8918918918918919,0.05128205128205128,0.09698750918442321,0.6080315850354361,10
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'V18']",0.8918918918918919,0.04852941176470588,0.09205020920502092,0.5878071256094639,10
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'V19']",0.8918918918918919,0.047109207708779445,0.08949152542372882,0.5793389446445205,10
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'V20']",0.8918918918918919,0.04748201438848921,0.09016393442622951,0.5820682804575149,10
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'Amount']",0.8918918918918919,0.04737975592246949,0.08997955010224949,0.5815721892249084,10
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'V11', 'V9']",0.8918918918918919,0.05441055234954658,0.10256410256410256,0.5744159836711191,11
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6']",0.8918918918918919,0.046057222609909285,0.08759124087591241,0.5662881156132272,7
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'V11', 'V12']",0.8918918918918919,0.0584070796460177,0.10963455149501661,0.6082856699028661,11
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'V11', 'V19']",0.8918918918918919,0.05392156862745098,0.1016949152542373,0.5717690244642649,11
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'V11', 'V20']",0.8918918918918919,0.05441055234954658,0.10256410256410256,0.5766633560262193,11
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'V11', 'V21']",0.8918918918918919,0.05192761605035405,0.09814126394052045,0.582134734570312,11
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'V11', 'Amount']",0.8918918918918919,0.05527638190954774,0.10410094637223975,0.5784306584561824,11
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V19']",0.8918918918918919,0.04573804573804574,0.08701384311140409,0.5665030085999802,8
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'V11', 'V9', 'V12']",0.8918918918918919,0.05814977973568282,0.10918114143920596,0.6141639206581078,12
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V21']",0.8918918918918919,0.044928522804629,0.08554763447828904,0.580411425241421,9
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V20']",0.8918918918918919,0.046057222609909285,0.08759124087591241,0.5703163405139506,9
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'V11', 'V9', 'V20']",0.8918918918918919,0.054187192118226604,0.1021671826625387,0.5775277646066106,12
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1']",0.8918918918918919,0.04612159329140461,0.08770764119601329,0.563802720073076,8
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V20']",0.8918918918918919,0.045993031358885016,0.0874751491053678,0.5710820852367895,8
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V21']",0.8918918918918919,0.044989775051124746,0.08565866320571058,0.5804347992937081,8
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'Amount']",0.8918918918918919,0.04618614415675298,0.08782435129740519,0.5672846634156822,8
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V11']",0.8918918918918919,0.05396565821749796,0.1017733230531997,0.5572239998939025,8
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7']",0.8918918918918919,0.047619047619047616,0.09041095890410959,0.5805817079019844,9
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V9']",0.8918918918918919,0.04618614415675298,0.08782435129740519,0.5706850937019311,8
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V7']",0.8918918918918919,0.04744787922358016,0.0901023890784983,0.5811968201687114,8
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'Amount']",0.8918918918918919,0.045174537987679675,0.08599348534201955,0.5564311127723294,7
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V19']",0.8918918918918919,0.046089385474860335,0.08764940239043825,0.5635170258213094,9
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V9']",0.8918918918918919,0.046380885453267746,0.08817635270541083,0.5707215706182834,9
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V19']",0.8918918918918919,0.04474576271186441,0.08521626856036152,0.5575423588705959,7
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V11']",0.8918918918918919,0.05396565821749796,0.1017733230531997,0.5582234469188647,9
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V12']",0.8918918918918919,0.05084745762711865,0.09620991253644315,0.60435696544194,9
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V12']",0.8918918918918919,0.05357142857142857,0.10107197549770292,0.5931086403131604,7
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V11']",0.8918918918918919,0.05258964143426295,0.09932279909706546,0.5507243366014996,7
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V18']",0.8918918918918919,0.04741379310344827,0.09004092769440655,0.5741706124698824,9
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'V11', 'V9', 'V19']",0.8918918918918919,0.05374592833876222,0.10138248847926268,0.573145164605274,12
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V18']",0.8918918918918919,0.04737975592246949,0.08997955010224949,0.5727680971210349,8
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'V11', 'V9', 'V12', 'V10', 'V17']",0.8918918918918919,0.06273764258555133,0.1172291296625222,0.6360738758035679,14
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'V11', 'V9', 'V12', 'V10', 'V17', 'V16', 'V18', 'V21']",0.8918918918918919,0.06321839080459771,0.11806797853309481,0.6311054704364675,17
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'V11', 'V9', 'V12', 'V10', 'V17', 'V16', 'V18']",0.8918918918918919,0.06420233463035019,0.11978221415607986,0.6357035780846776,16
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'V11', 'V9', 'V12', 'V10', 'V17', 'Amount']",0.8918918918918919,0.06273764258555133,0.1172291296625222,0.6362325199338517,15
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'V11', 'V9', 'V12', 'V10', 'V17', 'V21']",0.8918918918918919,0.06105457909343201,0.11428571428571428,0.6425678946870262,15
"['V14', 'V4', 'V2', 'V3', 'V5', 'V8', 'V6', 'V1', 'V7', 'V11', 'V9', 'V12', 'V10', 'V17', 'V20']",0.8918918918918919,0.06291706387035272,0.11754229741763135,0.6356372107797374,15
