features,recall,precision,f1,pr_auc,n_features
"['V17', 'V14', 'V10', 'V8', 'V16', 'V6', 'V21', 'V2', 'V20', 'V18', 'V12', 'V11', 'Amount', 'V3', 'V4', 'V19', 'V7']",0.6224489795918368,0.8243243243243243,0.7093023255813954,0.7435528459733498,17
"['V17', 'V14', 'V10', 'V8', 'V16', 'V6', 'V21', 'V2', 'V20', 'V18', 'V12', 'V11', 'Amount', 'V3', 'V4', 'V19']",0.6530612244897959,0.8311688311688312,0.7314285714285714,0.743545176478968,16
"['V17', 'V14', 'V10', 'V8', 'V16', 'V6', 'V21', 'V2', 'V20', 'V18', 'V12', 'V11', 'Amount', 'V3', 'V4', 'V19', 'V7', 'V1', 'V9']",0.6224489795918368,0.8243243243243243,0.7093023255813954,0.7430652883174885,19
"['V17', 'V14', 'V10', 'V8', 'V16', 'V6', 'V21', 'V2', 'V20', 'V18', 'V12', 'V11', 'Amount', 'V3', 'V4', 'V19', 'V1']",0.6326530612244898,0.8266666666666667,0.7167630057803468,0.7426943487368162,17
"['V17', 'V14', 'V10', 'V8', 'V16', 'V6', 'V21', 'V2', 'V20', 'V18']",0.6122448979591837,0.8333333333333334,0.7058823529411765,0.7425884898571455,10
"['V17', 'V14', 'V10', 'V8', 'V16', 'V6', 'V21', 'V2', 'V20', 'V18', 'V12', 'V11', 'Amount', 'V3', 'V4', 'V9']",0.6326530612244898,0.8266666666666667,0.7167630057803468,0.7425197563285753,16
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'V3', 'V18']",0.6428571428571429,0.8289473684210527,0.7241379310344828,0.7424085592133766,15
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'V3', 'V19', 'V6', 'V18', 'V7', 'Amount']",0.6428571428571429,0.8289473684210527,0.7241379310344828,0.7423534654489493,19
"['V17', 'V14', 'V10', 'V8', 'V16', 'V6', 'V21', 'V2', 'V20', 'V18', 'V12', 'V11', 'Amount', 'V3', 'V4', 'V1']",0.6224489795918368,0.8243243243243243,0.7093023255813954,0.7422878852407362,16
"['V17', 'V14', 'V10', 'V8', 'V16', 'V6', 'V21', 'V2', 'V20', 'V18', 'V12', 'V11', 'Amount', 'V3', 'V4', 'V19', 'V9']",0.6428571428571429,0.8289473684210527,0.7241379310344828,0.7422794317770913,17
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'V3', 'V19', 'V6', 'V18', 'V7']",0.6428571428571429,0.8289473684210527,0.7241379310344828,0.74225745273035,18
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'V3', 'V19', 'V6', 'V17']",0.6326530612244898,0.8266666666666667,0.7167630057803468,0.7422466766621865,17
"['V17', 'V14', 'V10', 'V8', 'V16', 'V6', 'V21', 'V2', 'V20', 'V11']",0.6122448979591837,0.8333333333333334,0.7058823529411765,0.7422350684920959,10
"['V17', 'V14', 'V10', 'V8', 'V16', 'V6', 'V21', 'V2', 'V20']",0.6122448979591837,0.8333333333333334,0.7058823529411765,0.7421800851054948,9
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'V3', 'Amount']",0.6428571428571429,0.8289473684210527,0.7241379310344828,0.7420923679199974,15
