features,recall,precision,f1,pr_auc,n_features
"['V10', 'V14', 'V16', 'V8', 'V9', 'V2', 'V21']",0.8378378378378378,0.07192575406032482,0.13247863247863248,0.6589347524274638,7
"['V10', 'V4', 'V14', 'V12', 'V16', 'V8', 'V11', 'V1', 'V21']",0.8783783783783784,0.06184586108468126,0.11555555555555555,0.6577653545980311,9
"['V10', 'V14', 'V16', 'V8', 'V9', 'V2']",0.8378378378378378,0.07345971563981042,0.13507625272331156,0.6572158731271645,6
"['V10', 'V4', 'V14', 'V12', 'V16', 'V8', 'V1', 'V2']",0.8783783783783784,0.06069094304388422,0.11353711790393013,0.6570874529063627,8
"['V10', 'V4', 'V14', 'V12', 'V16', 'V17', 'V8', 'V11', 'V1']",0.8783783783783784,0.0641025641025641,0.11948529411764706,0.6570607072694883,9
"['V10', 'V4', 'V14', 'V12', 'V16', 'V17', 'V8', 'V1', 'V2', 'V21']",0.8783783783783784,0.05974264705882353,0.11187607573149742,0.6569660262724144,10
"['V10', 'V14', 'V16', 'V17', 'V8', 'V9', 'V2']",0.8378378378378378,0.07285546415981199,0.13405405405405404,0.6569445176349443,7
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V2']",0.8378378378378378,0.07285546415981199,0.13405405405405404,0.6569445176349443,7
"['V10', 'V4', 'V14', 'V12', 'V16', 'V8', 'V1', 'V2', 'V21']",0.8783783783783784,0.06001846722068329,0.11235955056179775,0.6567573219312385,9
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V2', 'V20']",0.8378378378378378,0.07268464243845252,0.133764832793959,0.656368219406798,8
"['V10', 'V14', 'V16', 'V17', 'V8', 'V9', 'V2', 'V21']",0.8378378378378378,0.07069555302166476,0.13038906414300735,0.6563315339470026,8
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V2', 'V21']",0.8378378378378378,0.07069555302166476,0.13038906414300735,0.6563315339470026,8
"['V10', 'V4', 'V14', 'V12', 'V16', 'V8', 'V11', 'V9', 'V1', 'V21']",0.8648648648648649,0.060836501901140684,0.11367673179396093,0.656175461504204,10
"['V10', 'V4', 'V14', 'V12', 'V16', 'V8', 'V9', 'V1', 'V21']",0.8648648648648649,0.05823475887170155,0.10912190963341858,0.6560638931447751,9
"['V10', 'V4', 'V14', 'V12', 'V16', 'V17', 'V8', 'V1', 'V2']",0.8783783783783784,0.06052141527001862,0.1132404181184669,0.6560202174906926,9
"['V10', 'V14', 'V16', 'V8', 'V9', 'V21']",0.8378378378378378,0.0713463751438435,0.13149522799575822,0.6560000495415307,6
"['V10', 'V4', 'V14', 'V12', 'V16', 'V17', 'V8', 'V11', 'V9', 'V1', 'V21']",0.8648648648648649,0.06118546845124283,0.11428571428571428,0.6559744244184288,11
"['V10', 'V4', 'V14', 'V12', 'V16', 'V8', 'V1', 'V21']",0.8648648648648649,0.057813911472448055,0.10838272650296359,0.6559734058248874,8
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V2', 'V20', 'V18', 'V21', 'V19', 'V5', 'Amount', 'V12', 'V4', 'V1']",0.8783783783783784,0.06256015399422522,0.11680143755615453,0.6559668639167422,16
"['V10', 'V4', 'V14', 'V12', 'V16', 'V8', 'V9', 'V1', 'V2']",0.8648648648648649,0.060206961429915336,0.11257695690413369,0.6559097137810612,9
"['V10', 'V4', 'V14', 'V12', 'V16', 'V8', 'V1']",0.8648648648648649,0.059534883720930236,0.1114012184508268,0.6557744897617029,7
"['V10', 'V4', 'V14', 'V12', 'V16', 'V17', 'V8', 'V11', 'V9', 'V1']",0.8648648648648649,0.06355511420059583,0.11840888066604996,0.6557129025378251,10
"['V10', 'V14', 'V16', 'V8', 'V9']",0.8378378378378378,0.07294117647058823,0.1341991341991342,0.6556966612729136,5
"['V10', 'V4', 'V14', 'V12', 'V16', 'V8', 'V11', 'V9', 'V1']",0.8648648648648649,0.0631786771964462,0.11775528978840846,0.65566579064024,9
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V2', 'V20', 'V18']",0.8378378378378378,0.07159353348729793,0.13191489361702127,0.6555529973957753,9
"['V10', 'V14', 'V16', 'V8', 'V9', 'V1', 'V2', 'V21']",0.8513513513513513,0.07167235494880546,0.1322140608604407,0.6554873725398419,8
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V2', 'V20', 'V21']",0.8513513513513513,0.07167235494880546,0.1322140608604407,0.6552098965929675,9
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V2', 'V20', 'V18', 'V21', 'V19', 'V5', 'Amount', 'V12', 'V4', 'V1', 'V7']",0.8783783783783784,0.06335282651072124,0.11818181818181818,0.655131195121428,17
"['V10', 'V4', 'V14', 'V12', 'V16', 'V8', 'V11', 'V1']",0.8783783783783784,0.06335282651072124,0.11818181818181818,0.6548875022112151,8
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V2', 'Amount']",0.8243243243243243,0.06939704209328783,0.12801678908709338,0.6546326016940037,8
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V2', 'V20', 'V18', 'V21', 'V19', 'V5', 'Amount', 'V12', 'V4', 'V1', 'V7', 'V6']",0.8783783783783784,0.06226053639846743,0.11627906976744186,0.6545667375035,18
"['V10', 'V14', 'V16', 'V8', 'V9', 'V1', 'V21']",0.8243243243243243,0.07003444316877153,0.1291005291005291,0.6544964764774096,7
"['V10', 'V4', 'V14', 'V12', 'V16', 'V17', 'V8', 'V1']",0.8648648648648649,0.05876951331496786,0.11006018916595013,0.6543979875782759,8
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V2', 'V20', 'V18', 'V21']",0.8513513513513513,0.0707070707070707,0.1305699481865285,0.6542777041662998,10
"['V10', 'V4', 'V14', 'V12', 'V16', 'V17', 'V8', 'V9', 'V1', 'V2']",0.8648648648648649,0.0600375234521576,0.11228070175438597,0.6542167680021228,10
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V2', 'V18']",0.8378378378378378,0.07184241019698726,0.13233724653148346,0.6541560694636224,8
"['V10', 'V4', 'V14', 'V12', 'V16', 'V17', 'V8', 'V1', 'V21']",0.8648648648648649,0.057709648331830475,0.10819949281487742,0.6540418752482887,9
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V2', 'V20', 'V18', 'V21', 'V19', 'V5', 'Amount', 'V12', 'V4', 'V1', 'V6']",0.8783783783783784,0.06202290076335878,0.11586452762923351,0.6538292907986563,17
"['V10', 'V4', 'V14', 'V12', 'V16', 'V17', 'V8', 'V9', 'V1']",0.8648648648648649,0.0595903165735568,0.11149825783972125,0.6538202053234917,9
"['V10', 'V4', 'V14', 'V12', 'V16', 'V8', 'V9', 'V1']",0.8648648648648649,0.06054872280037843,0.11317418213969938,0.6537329287429146,8
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V2', 'V19']",0.8378378378378378,0.07029478458049887,0.1297071129707113,0.6535484804901773,8
"['V10', 'V4', 'V14', 'V12', 'V16', 'V8', 'V9', 'V21']",0.8648648648648649,0.059149722735674676,0.11072664359861592,0.6535206025891093,8
"['V10', 'V4', 'V14', 'V12', 'V16', 'V17', 'V8', 'V9', 'V1', 'V21']",0.8648648648648649,0.0576057605760576,0.1080168776371308,0.6535053423070794,10
"['V10', 'V4', 'V14', 'V12', 'V16', 'V17', 'V8', 'V11', 'V1', 'V21']",0.8783783783783784,0.06243996157540826,0.11659192825112108,0.6534355923134136,10
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V2', 'V20', 'Amount']",0.8243243243243243,0.06963470319634703,0.12842105263157894,0.6532662083082056,9
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V2', 'V20', 'V19']",0.8378378378378378,0.06989853438556934,0.12903225806451613,0.6532127138117477,9
"['V10', 'V4', 'V14', 'V12', 'V16', 'V8', 'V21']",0.8783783783783784,0.05957836846929423,0.11158798283261803,0.6531997267432578,7
"['V10', 'V14', 'V16', 'V17', 'V8', 'V9', 'V21']",0.8378378378378378,0.07013574660633484,0.12943632567849686,0.6531390339905506,7
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V21']",0.8378378378378378,0.07013574660633484,0.12943632567849686,0.6531390339905506,7
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V2', 'V20', 'V18', 'V21', 'V19', 'V5', 'Amount', 'V12', 'V4', 'V1', 'V7', 'V3']",0.8783783783783784,0.06202290076335878,0.11586452762923351,0.6531241065369519,18
"['V10', 'V4', 'V14', 'V12', 'V16', 'V8', 'V9', 'V1', 'V2', 'V21']",0.8648648648648649,0.0599250936329588,0.11208406304728546,0.6530337219499053,10
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V2', 'V20', 'V18', 'Amount']",0.8243243243243243,0.06931818181818182,0.1278825995807128,0.6530275797788432,10
"['V10', 'V4', 'V14', 'V12', 'V16', 'V8', 'V11', 'V9', 'V21']",0.8648648648648649,0.06374501992031872,0.11873840445269017,0.6530124398938663,9
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V2', 'V20', 'V18', 'V21', 'V19', 'V5', 'Amount', 'V12', 'V4', 'V1', 'V7', 'V6', 'V3']",0.8783783783783784,0.06172839506172839,0.11535048802129548,0.6529854184020273,19
"['V10', 'V14', 'V16', 'V8', 'V9', 'V1', 'V2']",0.8513513513513513,0.07183580387685291,0.13249211356466878,0.6529557133752477,7
"['V10', 'V4', 'V14', 'V12', 'V16', 'V17', 'V8', 'V11', 'V9']",0.8648648648648649,0.06336633663366337,0.11808118081180811,0.6528937337148605,9
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'Amount']",0.8243243243243243,0.06877113866967305,0.12695109261186263,0.652768445286921,7
"['V10', 'V4', 'V14', 'V12', 'V16', 'V8', 'V9']",0.8513513513513513,0.05982905982905983,0.11180124223602485,0.6527005910662451,7
"['V10', 'V4', 'V14', 'V12', 'V16', 'V17', 'V8', 'V11', 'V9', 'V21']",0.8648648648648649,0.06330365974282888,0.11797235023041475,0.6526113204345491,10
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9']",0.8378378378378378,0.07200929152148665,0.13262032085561498,0.6525750473768684,6
"['V10', 'V14', 'V16', 'V17', 'V8', 'V9']",0.8378378378378378,0.07200929152148665,0.13262032085561498,0.6525750473768684,6
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V2', 'V20', 'V18', 'V19']",0.8378378378378378,0.06981981981981981,0.1288981288981289,0.6524925801106258,10
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V2', 'V20', 'V18', 'V21', 'V19']",0.8378378378378378,0.06850828729281767,0.12665985699693566,0.6524601416239073,11
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V20']",0.8378378378378378,0.07234539089848308,0.13319011815252416,0.652408844765593,7
"['V10', 'V4', 'V14', 'V12', 'V16', 'V8', 'V11', 'V1', 'V2']",0.8648648648648649,0.06201550387596899,0.11573236889692586,0.6523651510403493,9
"['V10', 'V4', 'V14', 'V12', 'V16', 'V8', 'V11', 'V21']",0.8648648648648649,0.06336633663366337,0.11808118081180811,0.6522996435423841,8
"['V10', 'V4', 'V14', 'V12', 'V16', 'V17', 'V8', 'V9', 'V1', 'V2', 'V21']",0.8648648648648649,0.0595903165735568,0.11149825783972125,0.6522701640429993,11
"['V10', 'V4', 'V14', 'V12', 'V16', 'V8']",0.8513513513513513,0.059044048734770385,0.11042944785276074,0.6522118715090979,6
"['V10', 'V4', 'V14', 'V12', 'V16', 'V17', 'V8', 'V11', 'V21']",0.8648648648648649,0.06324110671936758,0.11786372007366483,0.6521938796797868,9
"['V10', 'V14', 'V16', 'V17', 'V8', 'V2', 'V21']",0.8378378378378378,0.0640495867768595,0.11900191938579655,0.6521397328759535,7
"['V14', 'V10', 'V8', 'V17', 'V16', 'V9', 'V18']",0.8378378378378378,0.07142857142857142,0.1316348195329087,0.6521085506815275,7
"['V10', 'V4', 'V14', 'V12', 'V16', 'V8', 'V11']",0.8648648648648649,0.06412825651302605,0.11940298507462686,0.6520510372201218,7
