features,recall,precision,f1,pr_auc,n_features
"['V4', 'V10', 'V14', 'V12', 'V8']",0.9285714285714286,0.056910569105691054,0.10724808485562758,0.7138924358957636,5
"['V4', 'V10', 'V14', 'V12', 'V8', 'V17', 'V11', 'V5']",0.9285714285714286,0.05810983397190294,0.109375,0.7244451883836519,8
"['V4', 'V14', 'V12', 'V17', 'V11', 'V5']",0.9285714285714286,0.052968568102444706,0.10022026431718062,0.6669732197655953,6
"['V4', 'V10', 'V14', 'V12', 'V17']",0.9285714285714286,0.0568039950062422,0.10705882352941176,0.6998390225134111,5
"['V4', 'V10', 'V14', 'V12', 'V11']",0.9285714285714286,0.059789750328515114,0.11234567901234568,0.7034988856071557,5
"['V4', 'V10', 'V14', 'V12', 'V20']",0.9285714285714286,0.05859626529298133,0.11023622047244094,0.689330208057775,5
"['V4', 'V10', 'V14', 'V12', 'V5']",0.9285714285714286,0.05848329048843188,0.11003627569528417,0.6982212199891994,5
"['V4', 'V10', 'V14', 'V12', 'V21']",0.9285714285714286,0.056981840951784594,0.10737463126843658,0.7050533964717529,5
"['V4', 'V10', 'V16', 'V12', 'V8']",0.9285714285714286,0.047028423772609816,0.08952287260206591,0.6164537826874478,5
"['V4', 'V10', 'V16', 'V12', 'V17']",0.9285714285714286,0.043312708234174206,0.08276489313324238,0.6586504048901838,5
"['V4', 'V10', 'V16', 'V12', 'V11']",0.9285714285714286,0.04924242424242424,0.09352517985611511,0.6810415371164357,5
"['V4', 'V10', 'V16', 'V12', 'V5']",0.9285714285714286,0.048352816153028694,0.09191919191919191,0.6611816517417598,5
"['V4', 'V10', 'V16', 'V12', 'V1']",0.9285714285714286,0.04710144927536232,0.0896551724137931,0.6519252214470597,5
"['V4', 'V10', 'V16', 'V12', 'V21']",0.9285714285714286,0.04900376952073236,0.09309462915601023,0.660205554627846,5
"['V4', 'V10', 'V16', 'V8', 'V11']",0.9285714285714286,0.05103757711721817,0.09675704412546518,0.5805814213787758,5
"['V4', 'V10', 'V16', 'V11', 'V21']",0.9285714285714286,0.05281485780615206,0.09994508511806699,0.647775053919519,5
"['V4', 'V10', 'V12', 'V8', 'V17']",0.9285714285714286,0.04602933737986849,0.08771084337349398,0.5855497086018228,5
"['V4', 'V10', 'V12', 'V8', 'V11']",0.9285714285714286,0.04809725158562368,0.0914572864321608,0.6061121887292166,5
"['V4', 'V10', 'V12', 'V8', 'V5']",0.9285714285714286,0.04719917012448133,0.08983218163869694,0.6016059615286193,5
"['V4', 'V10', 'V12', 'V8', 'V1']",0.9285714285714286,0.04614604462474645,0.08792270531400966,0.5882339451106045,5
"['V4', 'V10', 'V12', 'V8', 'V21']",0.9285714285714286,0.046052631578947366,0.08775313404050145,0.6264262292206649,5
"['V4', 'V10', 'V14', 'V12', 'V8', 'V17', 'V11', 'V20']",0.9285714285714286,0.0603448275862069,0.1133250311332503,0.7070070003690508,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V17', 'V11', 'V1']",0.9285714285714286,0.05998681608437706,0.11269349845201239,0.7145465090345731,8
"['V4', 'V10', 'V14', 'V12', 'V17', 'V20', 'V5', 'V1']",0.9285714285714286,0.05955497382198953,0.11193111931119311,0.6839337272519582,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V17', 'V11', 'V21']",0.9285714285714286,0.05867182462927144,0.11036992116434202,0.7222814911242412,8
"['V4', 'V10', 'V14', 'V12', 'V17', 'V11', 'V20', 'V21']",0.9285714285714286,0.059947299077733864,0.11262376237623763,0.6927141821740865,8
"['V4', 'V10', 'V14', 'V12', 'V17', 'V11', 'V20', 'V1']",0.9285714285714286,0.06095110515740121,0.11439346323067254,0.6775190345656634,8
"['V4', 'V10', 'V14', 'V12', 'V17', 'V11', 'V20', 'V5']",0.9285714285714286,0.05870967741935484,0.1104368932038835,0.691363594752492,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V5', 'V1', 'V21']",0.9285714285714286,0.056,0.10562971561230412,0.7207640796398206,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V20', 'V1', 'V21']",0.9285714285714286,0.05548780487804878,0.1047180667433832,0.71081261539804,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V20', 'V5', 'V21']",0.9285714285714286,0.056592039800995024,0.10668229777256741,0.7167657445929189,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V20', 'V5', 'V1']",0.9285714285714286,0.057741116751269035,0.1087216248506571,0.7064838672195879,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V11', 'V1', 'V21']",0.9285714285714286,0.05759493670886076,0.10846245530393325,0.7180617805032823,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V11', 'V5', 'V21']",0.9285714285714286,0.05472038484666266,0.1033503691084611,0.7207103881297157,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V11', 'V5', 'V1']",0.9285714285714286,0.05627705627705628,0.10612244897959183,0.7143017023251892,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V11', 'V20', 'V21']",0.9285714285714286,0.05792488860598345,0.10904733373277412,0.710928186260355,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V11', 'V20', 'V1']",0.9285714285714286,0.05947712418300653,0.11179361179361179,0.7045155508636124,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V11', 'V20', 'V5']",0.9285714285714286,0.056910569105691054,0.10724808485562758,0.7086662114950735,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V17', 'V1', 'V21']",0.9285714285714286,0.055623471882640586,0.104959630911188,0.719338374025082,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V17', 'V5', 'V21']",0.9285714285714286,0.05655686761963953,0.10661980082015231,0.7277471013567008,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V17', 'V5', 'V1']",0.9285714285714286,0.05848329048843188,0.11003627569528417,0.7252832991037818,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V17', 'V20', 'V21']",0.9285714285714286,0.05569155446756426,0.10508083140877598,0.711306714586502,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V17', 'V20', 'V1']",0.9285714285714286,0.05803571428571429,0.1092436974789916,0.7046553846423979,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V17', 'V20', 'V5']",0.9285714285714286,0.05874757908327954,0.11050394656952034,0.7180408153438146,8
"['V4', 'V10', 'V12', 'V17', 'V11']",0.9285714285714286,0.047150259067357515,0.08974358974358974,0.6546935753168996,5
"['V4', 'V10', 'V12', 'V17', 'V5']",0.9285714285714286,0.047819232790331054,0.09095452273863068,0.6424645114773707,5
"['V4', 'V10', 'V12', 'V17', 'V1']",0.9285714285714286,0.04413191076624636,0.08425925925925926,0.618940329510153,5
"['V4', 'V10', 'V12', 'V17', 'V21']",0.9285714285714286,0.0465711361310133,0.08869395711500974,0.6391974436071514,5
"['V4', 'V14', 'V12', 'V11', 'V1']",0.9285714285714286,0.05788804071246819,0.1089820359281437,0.6672213458575752,5
"['V4', 'V14', 'V12', 'V11', 'V21']",0.9285714285714286,0.05508474576271186,0.104,0.6801462644554416,5
"['V4', 'V14', 'V12', 'V20', 'V5']",0.9285714285714286,0.05022075055187638,0.09528795811518324,0.6666956646036335,5
