features,recall,precision,f1,pr_auc,n_features
"['V4', 'V14', 'V10', 'V16', 'V8', 'V5', 'V21', 'V19', 'V20']",0.6530612244897959,0.8311688311688312,0.7314285714285714,0.7417460127785016,9
"['V17', 'V14', 'V10', 'V8', 'V16', 'V6', 'V21', 'V2', 'V20', 'V18', 'V12', 'V11', 'Amount', 'V3', 'V4', 'V19', 'V7', 'V1']",0.6530612244897959,0.8311688311688312,0.7314285714285714,0.7416913014448102,18
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'V3', 'V19', 'V6']",0.6530612244897959,0.8311688311688312,0.7314285714285714,0.7418990331247759,16
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'V3', 'V19']",0.6530612244897959,0.8311688311688312,0.7314285714285714,0.7378735384224614,15
"['V17', 'V14', 'V10', 'V8', 'V16', 'V6', 'V21', 'V2', 'V20', 'V18', 'V12', 'V11', 'Amount', 'V3', 'V4', 'V19']",0.6530612244897959,0.8311688311688312,0.7314285714285714,0.743545176478968,16
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'V3', 'V19', 'V6', 'V18']",0.6530612244897959,0.8311688311688312,0.7314285714285714,0.7406697156270394,17
"['V4', 'V14', 'V10', 'V16', 'V8', 'V5', 'V21', 'V19', 'V20', 'V12']",0.6530612244897959,0.8311688311688312,0.7314285714285714,0.741000384093985,10
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'Amount']",0.6530612244897959,0.8311688311688312,0.7314285714285714,0.7402892750806324,14
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'V3', 'V19', 'V6', 'Amount']",0.6530612244897959,0.8205128205128205,0.7272727272727273,0.7416678141776614,17
"['V4', 'V14', 'V10', 'V16', 'V8', 'V5', 'V21', 'V19', 'V20', 'V2', 'V12']",0.6530612244897959,0.8205128205128205,0.7272727272727273,0.739137153494515,11
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'V18']",0.6530612244897959,0.8311688311688312,0.7314285714285714,0.7377081314332891,14
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'V3', 'V19', 'Amount']",0.6530612244897959,0.8205128205128205,0.7272727272727273,0.741854650605587,16
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'V7']",0.6530612244897959,0.8311688311688312,0.7314285714285714,0.7406159145253629,14
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21']",0.6530612244897959,0.8311688311688312,0.7314285714285714,0.7396813678082073,13
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'V3']",0.6530612244897959,0.8311688311688312,0.7314285714285714,0.7379133100042149,14
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'V3', 'V19', 'V6', 'V7']",0.6428571428571429,0.8076923076923077,0.7159090909090909,0.7406552011748744,17
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'V3', 'V19', 'V6', 'V18', 'Amount']",0.6428571428571429,0.8289473684210527,0.7241379310344828,0.74204181714565,18
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'V3', 'V19', 'V6', 'V18', 'V7']",0.6428571428571429,0.8289473684210527,0.7241379310344828,0.74225745273035,18
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'V3', 'V19', 'V6', 'V18', 'V17']",0.6428571428571429,0.8289473684210527,0.7241379310344828,0.7412960546291821,18
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'V3', 'V19', 'V6', 'V18', 'V7', 'V17']",0.6428571428571429,0.8289473684210527,0.7241379310344828,0.7413831538321386,19
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'V3', 'V19', 'V6', 'V18', 'V7', 'Amount']",0.6428571428571429,0.8289473684210527,0.7241379310344828,0.7423534654489493,19
"['V4', 'V10', 'V16', 'V8', 'V5', 'V21', 'V20', 'V12']",0.6428571428571429,0.8181818181818182,0.72,0.7177136550702448,8
"['V4', 'V10', 'V16', 'V8', 'V5', 'V21', 'V20', 'V2']",0.6428571428571429,0.8181818181818182,0.72,0.6998235068996947,8
"['V4', 'V14', 'V10', 'V16', 'V8', 'V5', 'V21', 'V19', 'V20', 'V2']",0.6428571428571429,0.8289473684210527,0.7241379310344828,0.7409584662780958,10
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8']",0.6428571428571429,0.8289473684210527,0.7241379310344828,0.7395672206763647,11
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V7']",0.6428571428571429,0.8289473684210527,0.7241379310344828,0.7371899153846236,13
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9']",0.6428571428571429,0.8289473684210527,0.7241379310344828,0.7369280891261921,12
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V9', 'V21', 'V3', 'V19', 'V18']",0.6428571428571429,0.8289473684210527,0.7241379310344828,0.7413689572442029,16
"['V14', 'V12', 'V4', 'V16', 'V1', 'V2', 'V10', 'V11', 'V5', 'V20', 'V8', 'V21']",0.6428571428571429,0.8289473684210527,0.7241379310344828,0.73978386007809,12
