features,n_estimators,max_depth,recall,precision,f1
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5']",50,5.0,0.8877551020408163,0.1590493601462523,0.26976744186046514
"['V14', 'V12', 'V2', 'V1', 'V8']",50,5.0,0.8877551020408163,0.16698656429942418,0.28109854604200324
"['V14', 'V12', 'V2', 'V16']",500,5.0,0.8877551020408163,0.14356435643564355,0.2471590909090909
"['V14', 'V12', 'V2', 'V16']",300,5.0,0.8877551020408163,0.14821124361158433,0.25401459854014596
"['V14', 'V12', 'V2', 'V16']",100,5.0,0.8877551020408163,0.15760869565217392,0.2676923076923077
"['V14', 'V12', 'V2', 'V16']",50,5.0,0.8877551020408163,0.1380952380952381,0.23901098901098902
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V11', 'V16', 'V10', 'V20']",500,5.0,0.8877551020408163,0.2116788321167883,0.3418467583497053
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V11', 'V16', 'V10', 'V20']",100,5.0,0.8877551020408163,0.22538860103626943,0.359504132231405
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V11', 'V16', 'V10', 'V20']",50,5.0,0.8877551020408163,0.1963882618510158,0.32162661737523107
"['V14', 'V12', 'V2', 'V1', 'V8']",500,5.0,0.8877551020408163,0.15535714285714286,0.26443768996960487
"['V14', 'V12', 'V2', 'V1', 'V8']",300,5.0,0.8877551020408163,0.15263157894736842,0.26047904191616766
"['V14', 'V12', 'V2', 'V1', 'V8']",100,5.0,0.8877551020408163,0.15452930728241562,0.2632375189107413
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V11', 'V16', 'V10', 'V20']",300,5.0,0.8877551020408163,0.22715404699738903,0.36174636174636177
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5']",100,5.0,0.8877551020408163,0.15846994535519127,0.2689335394126739
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5']",500,5.0,0.8877551020408163,0.16446124763705103,0.27751196172248804
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5']",300,5.0,0.8877551020408163,0.15425531914893617,0.2628398791540785
"['V14', 'V12', 'V2', 'V11']",100,5.0,0.8775510204081632,0.10399032648125756,0.18594594594594593
"['V14', 'V12', 'V2', 'V11']",300,5.0,0.8775510204081632,0.10696517412935323,0.19068736141906872
"['V14', 'V12', 'V2', 'V11']",500,5.0,0.8775510204081632,0.10683229813664596,0.19047619047619047
"['V14', 'V12', 'V2', 'V11']",50,5.0,0.8673469387755102,0.10191846522781775,0.18240343347639484
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V11', 'V16', 'V10', 'V20']",50,10.0,0.8571428571428571,0.8155339805825242,0.835820895522388
"['V14', 'V12', 'V2', 'V1', 'V8']",500,10.0,0.8571428571428571,0.7304347826086957,0.7887323943661971
"['V14', 'V12', 'V2', 'V16']",50,10.0,0.8571428571428571,0.7777777777777778,0.8155339805825242
"['V14', 'V12', 'V2', 'V1', 'V8']",300,10.0,0.8571428571428571,0.7304347826086957,0.7887323943661971
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5']",500,10.0,0.8571428571428571,0.7567567567567568,0.8038277511961722
"['V14', 'V12', 'V2', 'V16']",100,10.0,0.8571428571428571,0.7777777777777778,0.8155339805825242
"['V14', 'V12', 'V2', 'V1', 'V8']",100,10.0,0.8571428571428571,0.6774193548387096,0.7567567567567568
"['V14', 'V12', 'V2', 'V1', 'V8']",50,10.0,0.8571428571428571,0.6829268292682927,0.7601809954751131
"['V14', 'V12', 'V2', 'V16']",500,10.0,0.8571428571428571,0.7924528301886793,0.8235294117647058
"['V14', 'V12', 'V2', 'V16']",300,10.0,0.8571428571428571,0.7777777777777778,0.8155339805825242
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V11', 'V16', 'V10', 'V20']",500,10.0,0.8469387755102041,0.8383838383838383,0.8426395939086294
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5']",100,10.0,0.8469387755102041,0.7410714285714286,0.7904761904761904
"['V14', 'V12', 'V2', 'V11']",300,10.0,0.8469387755102041,0.7477477477477478,0.7942583732057417
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V11', 'V16', 'V10', 'V20']",100,10.0,0.8469387755102041,0.8217821782178217,0.8341708542713567
"['V14', 'V12', 'V2', 'V11']",100,10.0,0.8469387755102041,0.7155172413793104,0.7757009345794392
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5']",50,10.0,0.8469387755102041,0.7345132743362832,0.7867298578199052
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V11', 'V16', 'V10', 'V20']",300,10.0,0.8469387755102041,0.8383838383838383,0.8426395939086294
"['V14', 'V12', 'V2', 'V11']",50,10.0,0.8469387755102041,0.680327868852459,0.7545454545454545
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5']",300,10.0,0.8469387755102041,0.7410714285714286,0.7904761904761904
