features,recall,precision,f1,n_features
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V17', 'V18', 'V19', 'V16', 'V20', 'V21']",0.9285714285714286,0.05855855855855856,0.11016949152542373,19
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V20']",0.9285714285714286,0.05161656267725468,0.09779688339602365,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V17']",0.9285714285714286,0.049781181619256015,0.09449636552440291,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V11']",0.9285714285714286,0.05238917674150835,0.0991825613079019,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V10']",0.9285714285714286,0.05569155446756426,0.10508083140877598,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V9']",0.9285714285714286,0.04986301369863014,0.09464378575143005,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V8']",0.9285714285714286,0.0494028230184582,0.09381443298969072,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V7']",0.9285714285714286,0.0489247311827957,0.09295199182839632,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6']",0.9285714285714286,0.049917718047174986,0.09474232170744404,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V21']",0.9285714285714286,0.05126760563380282,0.09717031500266951,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V19']",0.9285714285714286,0.050471436494731,0.09573908469226723,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V21']",0.9285714285714286,0.052089295935890095,0.0986449864498645,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V18']",0.9285714285714286,0.050837988826815644,0.09639830508474577,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V17']",0.9285714285714286,0.05086640581330352,0.09644939056703762,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V16']",0.9285714285714286,0.05390995260663507,0.1019036954087346,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V11']",0.9285714285714286,0.05352941176470588,0.10122358175750834,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V10']",0.9285714285714286,0.05770450221940393,0.10865671641791044,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V9']",0.9285714285714286,0.051470588235294115,0.09753483386923902,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V7']",0.9285714285714286,0.051238738738738736,0.09711846318036287,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V6']",0.9285714285714286,0.05022075055187638,0.09528795811518324,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V18']",0.9285714285714286,0.04916261480280929,0.09338122113904566,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V19']",0.9285714285714286,0.0489247311827957,0.09295199182839632,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V20']",0.9285714285714286,0.05,0.0948905109489051,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V21']",0.9285714285714286,0.04908306364617044,0.0932377049180328,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V17']",0.9285714285714286,0.0490301724137931,0.0931422722620266,10
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V16']",0.9285714285714286,0.05103757711721817,0.09675704412546518,10
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V11']",0.9285714285714286,0.053154205607476634,0.1005524861878453,10
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V10']",0.9285714285714286,0.05495169082125604,0.10376282782212087,10
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V9']",0.9285714285714286,0.04934924078091106,0.0937178166838311,10
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8']",0.9285714285714286,0.048507462686567165,0.09219858156028368,10
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V21']",0.9285714285714286,0.04910955207771182,0.09328549461814455,9
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V20']",0.9285714285714286,0.04967248908296943,0.09430051813471503,9
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V19']",0.9285714285714286,0.04843001596593933,0.09205867475973697,9
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V18']",0.9285714285714286,0.04929577464788732,0.09362139917695474,9
