n_estimators,max_depth,recall,precision,f1,pr_auc
50,,0.816327,   0.792079, 0.804020, 0.826743
50       ,20.0 ,0.826531   ,0.794118 ,0.810000 ,0.826534
50       ,10.0 ,0.857143   ,0.743363 ,0.796209 ,0.814137
300       ,20.0 ,0.836735   ,0.759259 ,0.796117 ,0.809045
300        ,, 0.836735   ,0.759259 ,0.796117 ,0.808971
100       ,20.0 ,0.836735   ,0.773585 ,0.803922 ,0.807876
100        ,, 0.836735   ,0.773585 ,0.803922 ,0.807728
500       ,20.0 ,0.836735   ,0.752294 ,0.792271 ,0.806020
500        ,,0.836735   ,0.752294 ,0.792271 ,0.805725
300       ,10.0 ,0.836735   ,0.713043 ,0.769953 ,0.805187
500       ,10.0 ,0.836735   ,0.732143 ,0.780952 ,0.803840
100       ,10.0 ,0.846939   ,0.728070 ,0.783019 ,0.798654
50        ,5.0 ,0.887755   ,0.328302 ,0.479339 ,0.743594
100        ,5.0 ,0.887755   ,0.375000 ,0.527273 ,0.742770
500        ,5.0 ,0.887755   ,0.355102 ,0.507289 ,0.716281
300        ,5.0 ,0.887755   ,0.364017 ,0.516320 ,0.709824
