features,recall,precision,f1,n_features
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5']",0.8775510204081632,0.688,0.7713004484304933,6
"['V14', 'V12', 'V2', 'V1', 'V8']",0.8775510204081632,0.6142857142857143,0.7226890756302521,5
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V11', 'V16', 'V10', 'V20']",0.8775510204081632,0.7288135593220338,0.7962962962962963,13
"['V14', 'V12', 'V2', 'V11']",0.8775510204081632,0.6323529411764706,0.7350427350427351,4
"['V14', 'V12', 'V2', 'V16']",0.8775510204081632,0.6370370370370371,0.7381974248927039,4
"['V14', 'V12', 'V2', 'V17']",0.8775510204081632,0.6277372262773723,0.7319148936170212,4
"['V14', 'V12', 'V2', 'V20']",0.8775510204081632,0.5972222222222222,0.7107438016528925,4
"['V14', 'V12', 'V2', 'V21']",0.8775510204081632,0.6417910447761194,0.7413793103448276,4
"['V14', 'V12', 'V2', 'V1', 'V3']",0.8775510204081632,0.6666666666666666,0.7577092511013216,5
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V20']",0.8775510204081632,0.7413793103448276,0.8037383177570093,10
"['V14', 'V12', 'V2']",0.8775510204081632,0.6142857142857143,0.7226890756302521,3
"['V14', 'V12', 'V2', 'V8']",0.8775510204081632,0.6056338028169014,0.7166666666666667,4
"['V14', 'V12', 'V2', 'V1', 'V16']",0.8775510204081632,0.6370370370370371,0.7381974248927039,5
"['V14', 'V12', 'V2', 'V1', 'V17']",0.8775510204081632,0.6666666666666666,0.7577092511013216,5
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V17']",0.8775510204081632,0.7107438016528925,0.7853881278538812,7
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V11', 'V16', 'V10']",0.8775510204081632,0.7478260869565218,0.8075117370892019,12
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6']",0.8775510204081632,0.7049180327868853,0.7818181818181819,7
"['V14', 'V12', 'V2', 'V1', 'V3', 'V11']",0.8775510204081632,0.6277372262773723,0.7319148936170212,6
"['V14', 'V12', 'V2', 'V1', 'V3', 'V16']",0.8775510204081632,0.7226890756302521,0.7926267281105991,6
"['V14', 'V12', 'V2', 'V1', 'V3', 'V17']",0.8775510204081632,0.7049180327868853,0.7818181818181819,6
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V11', 'V16', 'V10', 'V21']",0.8775510204081632,0.7610619469026548,0.8151658767772512,13
"['V14', 'V12', 'V2', 'V18']",0.8775510204081632,0.6099290780141844,0.7196652719665272,4
"['V14', 'V12', 'V2', 'V1', 'V3', 'V21']",0.8775510204081632,0.6991869918699187,0.7782805429864253,6
"['V14', 'V12', 'V20']",0.8775510204081632,0.589041095890411,0.7049180327868853,3
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17']",0.8775510204081632,0.7288135593220338,0.7962962962962963,9
"['V14', 'V12', 'V2', 'V6']",0.8775510204081632,0.589041095890411,0.7049180327868853,4
"['V14', 'V12', 'V16']",0.8775510204081632,0.6277372262773723,0.7319148936170212,3
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V11']",0.8775510204081632,0.7288135593220338,0.7962962962962963,10
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V18']",0.8775510204081632,0.7226890756302521,0.7926267281105991,10
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V16']",0.8775510204081632,0.7226890756302521,0.7926267281105991,10
"['V14', 'V12', 'V2', 'V1']",0.8775510204081632,0.6142857142857143,0.7226890756302521,4
"['V14', 'V12', 'V2', 'V3']",0.8775510204081632,0.6231884057971014,0.7288135593220338,4
"['V14', 'V12', 'V3']",0.8775510204081632,0.5972222222222222,0.7107438016528925,3
"['V14', 'V12', 'V2', 'V5']",0.8775510204081632,0.6564885496183206,0.7510917030567685,4
"['V14', 'V12', 'V8']",0.8775510204081632,0.5733333333333334,0.6935483870967742,3
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V19']",0.8673469387755102,0.6967213114754098,0.7727272727272727,9
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V20']",0.8673469387755102,0.6854838709677419,0.7657657657657657,9
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V9']",0.8673469387755102,0.7264957264957265,0.7906976744186046,10
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V18']",0.8673469387755102,0.7264957264957265,0.7906976744186046,7
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V8']",0.8673469387755102,0.7083333333333334,0.7798165137614679,7
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V9']",0.8673469387755102,0.7024793388429752,0.776255707762557,7
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V18']",0.8673469387755102,0.7083333333333334,0.7798165137614679,9
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V11', 'V18']",0.8673469387755102,0.7456140350877193,0.8018867924528302,11
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V11']",0.8673469387755102,0.7083333333333334,0.7798165137614679,7
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V16']",0.8673469387755102,0.6746031746031746,0.7589285714285714,7
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V19']",0.8673469387755102,0.7391304347826086,0.7981220657276995,10
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V11', 'V16']",0.8673469387755102,0.7203389830508474,0.7870370370370371,11
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V20']",0.8673469387755102,0.7142857142857143,0.783410138248848,7
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V16']",0.8673469387755102,0.7391304347826086,0.7981220657276995,9
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V21']",0.8673469387755102,0.6910569105691057,0.7692307692307693,7
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8']",0.8673469387755102,0.6967213114754098,0.7727272727272727,8
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V21']",0.8673469387755102,0.7264957264957265,0.7906976744186046,10
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V11']",0.8673469387755102,0.7142857142857143,0.783410138248848,8
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V16']",0.8673469387755102,0.7083333333333334,0.7798165137614679,8
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V18']",0.8673469387755102,0.6746031746031746,0.7589285714285714,8
"['V14', 'V12', 'V2', 'V1', 'V3', 'V20']",0.8673469387755102,0.6439393939393939,0.7391304347826086,6
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V21']",0.8673469387755102,0.7083333333333334,0.7798165137614679,8
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V20']",0.8673469387755102,0.7024793388429752,0.776255707762557,8
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V11']",0.8673469387755102,0.7142857142857143,0.783410138248848,9
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V4']",0.8673469387755102,0.7083333333333334,0.7798165137614679,10
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V11', 'V16', 'V10', 'V7']",0.8673469387755102,0.7522123893805309,0.8056872037914692,13
"['V14', 'V12', 'V2', 'V1', 'V19']",0.8673469387755102,0.6439393939393939,0.7391304347826086,5
"['V14', 'V12', 'V17']",0.8673469387755102,0.6589147286821705,0.748898678414097,3
"['V14', 'V12', 'V2', 'V19']",0.8673469387755102,0.6071428571428571,0.7142857142857143,4
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V11', 'V16', 'V10', 'V19']",0.8673469387755102,0.7657657657657657,0.8133971291866029,13
"['V14', 'V12', 'V2', 'V1', 'V5']",0.8673469387755102,0.6692913385826772,0.7555555555555555,5
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V11', 'V16', 'V10', 'V18']",0.8673469387755102,0.7589285714285714,0.8095238095238095,13
"['V14', 'V12', 'V2', 'V1', 'V3', 'V18']",0.8673469387755102,0.6967213114754098,0.7727272727272727,6
"['V14', 'V12', 'V11']",0.8673469387755102,0.5862068965517241,0.6995884773662552,3
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V11', 'V16', 'V20']",0.8673469387755102,0.7327586206896551,0.794392523364486,12
"['V14', 'V12', 'V2', 'V1', 'V3', 'V5', 'V6', 'V8', 'V17', 'V11', 'V16', 'V19']",0.8673469387755102,0.7142857142857143,0.783410138248848,12
"['V14', 'V12', 'V2', 'V1', 'V18']",0.8673469387755102,0.6343283582089553,0.7327586206896551,5
