features,recall,precision,f1,n_features
"['V4', 'V14', 'V12', 'V8', 'V17', 'V11', 'V1']",0.9285714285714286,0.056451612903225805,0.1064327485380117,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V18']",0.9285714285714286,0.050837988826815644,0.09639830508474577,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V20']",0.9285714285714286,0.05161656267725468,0.09779688339602365,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V21']",0.9285714285714286,0.05126760563380282,0.09717031500266951,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6']",0.9285714285714286,0.049917718047174986,0.09474232170744404,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V7']",0.9285714285714286,0.0489247311827957,0.09295199182839632,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V8']",0.9285714285714286,0.0494028230184582,0.09381443298969072,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V9']",0.9285714285714286,0.04986301369863014,0.09464378575143005,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V10']",0.9285714285714286,0.05569155446756426,0.10508083140877598,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V11']",0.9285714285714286,0.05238917674150835,0.0991825613079019,8
"['V4', 'V14', 'V12', 'V8', 'V17', 'V21']",0.9285714285714286,0.04948341489940185,0.09395973154362416,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V17']",0.9285714285714286,0.049781181619256015,0.09449636552440291,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V18']",0.9285714285714286,0.04916261480280929,0.09338122113904566,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V19']",0.9285714285714286,0.0489247311827957,0.09295199182839632,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V20']",0.9285714285714286,0.05,0.0948905109489051,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V21']",0.9285714285714286,0.04908306364617044,0.0932377049180328,8
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7']",0.9285714285714286,0.0490301724137931,0.0931422722620266,9
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V8']",0.9285714285714286,0.049269085002707096,0.093573264781491,9
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V9']",0.9285714285714286,0.04967248908296943,0.09430051813471503,9
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V19']",0.9285714285714286,0.050471436494731,0.09573908469226723,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V17']",0.9285714285714286,0.05086640581330352,0.09644939056703762,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V6']",0.9285714285714286,0.05100896860986547,0.09670563230605739,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V16']",0.9285714285714286,0.05390995260663507,0.1019036954087346,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V8']",0.9285714285714286,0.05144149236856981,0.09748259239421532,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V9']",0.9285714285714286,0.052148997134670486,0.09875203472599023,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V10']",0.9285714285714286,0.057741116751269035,0.1087216248506571,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V11']",0.9285714285714286,0.05737704918032787,0.10807600950118765,6
"['V4', 'V14', 'V12', 'V8', 'V17', 'V5']",0.9285714285714286,0.05061179087875417,0.09599156118143459,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V17']",0.9285714285714286,0.051763367463026164,0.0980603448275862,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V18']",0.9285714285714286,0.05155807365439093,0.09769189479334407,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V19']",0.9285714285714286,0.05188141391106044,0.09827213822894168,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V20']",0.9285714285714286,0.05241935483870968,0.09923664122137404,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V21']",0.9285714285714286,0.052089295935890095,0.0986449864498645,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5']",0.9285714285714286,0.05,0.0948905109489051,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V6']",0.9285714285714286,0.05022075055187638,0.09528795811518324,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V7']",0.9285714285714286,0.051238738738738736,0.09711846318036287,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V8']",0.9285714285714286,0.05103757711721817,0.09675704412546518,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V9']",0.9285714285714286,0.051470588235294115,0.09753483386923902,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V10']",0.9285714285714286,0.05770450221940393,0.10865671641791044,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V11']",0.9285714285714286,0.05352941176470588,0.10122358175750834,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V10']",0.9285714285714286,0.0563816604708798,0.10630841121495327,9
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V11']",0.9285714285714286,0.05343511450381679,0.10105496946141032,9
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V16']",0.9285714285714286,0.05226881102814474,0.0989668297988037,9
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V17']",0.9285714285714286,0.04961832061068702,0.09420289855072464,9
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V19']",0.9285714285714286,0.047594142259414225,0.09054726368159204,11
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V20']",0.9285714285714286,0.04848161960575386,0.09215189873417722,11
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V21']",0.9285714285714286,0.047420531526836895,0.090233019335647,11
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10']",0.9285714285714286,0.05495169082125604,0.10376282782212087,12
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V11']",0.9285714285714286,0.05337243401759531,0.100942872989462,12
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V16']",0.9285714285714286,0.05086640581330352,0.09644939056703762,12
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V17']",0.9285714285714286,0.04845580404685836,0.09210526315789473,12
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V18']",0.9285714285714286,0.048352816153028694,0.09191919191919191,12
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V19']",0.9285714285714286,0.047769028871391075,0.090863704443335,12
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V20']",0.9285714285714286,0.04845580404685836,0.09210526315789473,12
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V21']",0.9285714285714286,0.04747000521648409,0.09032258064516129,12
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11']",0.9285714285714286,0.05627705627705628,0.10612244897959183,13
"['V4', 'V14', 'V12', 'V8', 'V17', 'V1']",0.9285714285714286,0.051066217732884396,0.09680851063829787,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V17']",0.9285714285714286,0.05631188118811881,0.10618436406067679,13
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V18']",0.9285714285714286,0.05627705627705628,0.10612244897959183,13
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V19']",0.9285714285714286,0.05498489425981873,0.1038220193953223,13
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V20']",0.9285714285714286,0.055896805896805894,0.10544611819235226,13
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V18']",0.9285714285714286,0.04840425531914894,0.09201213346814964,11
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V17']",0.9285714285714286,0.04837852206273259,0.0919656392117231,11
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V16']",0.9285714285714286,0.051209904333145755,0.09706666666666666,11
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V11']",0.9285714285714286,0.053154205607476634,0.1005524861878453,10
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V18']",0.9285714285714286,0.04929577464788732,0.09362139917695474,9
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V19']",0.9285714285714286,0.04843001596593933,0.09205867475973697,9
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V20']",0.9285714285714286,0.04967248908296943,0.09430051813471503,9
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V21']",0.9285714285714286,0.04910955207771182,0.09328549461814455,9
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8']",0.9285714285714286,0.048507462686567165,0.09219858156028368,10
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V9']",0.9285714285714286,0.04934924078091106,0.0937178166838311,10
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V10']",0.9285714285714286,0.05495169082125604,0.10376282782212087,10
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V16']",0.9285714285714286,0.05103757711721817,0.09675704412546518,10
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V11']",0.9285714285714286,0.05343511450381679,0.10105496946141032,11
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V17']",0.9285714285714286,0.0490301724137931,0.0931422722620266,10
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V18']",0.9285714285714286,0.04868913857677903,0.09252669039145907,10
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V19']",0.9285714285714286,0.04807184363444268,0.09141135107985937,10
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V20']",0.9285714285714286,0.04908306364617044,0.0932377049180328,10
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V21']",0.9285714285714286,0.048585157501334755,0.09233891425672247,10
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9']",0.9285714285714286,0.04843001596593933,0.09205867475973697,11
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V10']",0.9285714285714286,0.055051421657592255,0.10394060536836093,11
"['V12', 'V14', 'V4', 'V1', 'V2', 'V7']",0.9285714285714286,0.05129650507328072,0.09722222222222222,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V5']",0.9285714285714286,0.050980392156862744,0.09665427509293681,6
"['V4', 'V14', 'V12', 'V8', 'V11', 'V20']",0.9285714285714286,0.056207535515750466,0.1059988351776354,6
"['V4', 'V10', 'V16', 'V12', 'V8', 'V20', 'V5', 'V21']",0.9285714285714286,0.05173393973848778,0.09800753904146473,8
"['V4', 'V10', 'V16', 'V12', 'V8', 'V11', 'V5', 'V1']",0.9285714285714286,0.04908306364617044,0.0932377049180328,8
"['V4', 'V10', 'V16', 'V12', 'V8', 'V11', 'V5', 'V21']",0.9285714285714286,0.049917718047174986,0.09474232170744404,8
"['V4', 'V10', 'V16', 'V12', 'V8', 'V17', 'V21', 'V1']",0.9285714285714286,0.04491609081934847,0.0856873822975518,8
"['V4', 'V10', 'V16', 'V12', 'V8', 'V17', 'V5', 'V1']",0.9285714285714286,0.047869542346133616,0.09104552276138068,8
"['V4', 'V10', 'V16', 'V12', 'V8', 'V17', 'V5', 'V21']",0.9285714285714286,0.04756926293779404,0.09050223769269021,8
"['V4', 'V10', 'V16', 'V12', 'V8', 'V17', 'V11', 'V1']",0.9285714285714286,0.04568273092369478,0.08708133971291866,8
"['V4', 'V10', 'V16', 'V12', 'V8', 'V17', 'V11', 'V21']",0.9285714285714286,0.046357615894039736,0.08830664725861233,8
"['V4', 'V10', 'V16', 'V12', 'V8', 'V17', 'V11', 'V5']",0.9285714285714286,0.04887218045112782,0.09285714285714286,8
"['V4', 'V10', 'V12', 'V8', 'V5', 'V21']",0.9285714285714286,0.04789473684210526,0.09109109109109109,6
"['V4', 'V10', 'V12', 'V8', 'V5', 'V1']",0.9285714285714286,0.047321892875715026,0.0900544285007422,6
"['V4', 'V10', 'V12', 'V8', 'V21', 'V1']",0.9285714285714286,0.04619289340101523,0.08800773694390715,6
"['V4', 'V10', 'V12', 'V17', 'V11', 'V5']",0.9285714285714286,0.05129650507328072,0.09722222222222222,6
"['V4', 'V10', 'V12', 'V17', 'V11', 'V21']",0.9285714285714286,0.049835706462212484,0.0945945945945946,6
"['V4', 'V10', 'V12', 'V17', 'V11', 'V1']",0.9285714285714286,0.04614604462474645,0.08792270531400966,6
"['V4', 'V10', 'V12', 'V17', 'V5', 'V21']",0.9285714285714286,0.04929577464788732,0.09362139917695474,6
"['V4', 'V10', 'V12', 'V17', 'V5', 'V1']",0.9285714285714286,0.04671457905544148,0.08895405669599218,6
"['V4', 'V10', 'V12', 'V17', 'V21', 'V1']",0.9285714285714286,0.04556835252879319,0.08687350835322195,6
"['V4', 'V10', 'V16', 'V12', 'V8', 'V11', 'V21', 'V1']",0.9285714285714286,0.04874129619710766,0.0926208651399491,8
"['V4', 'V10', 'V12', 'V8', 'V11', 'V1']",0.9285714285714286,0.04814814814814815,0.09154929577464789,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3']",0.9285714285714286,0.05161656267725468,0.09779688339602365,6
"['V4', 'V10', 'V12', 'V8', 'V11', 'V21']",0.9285714285714286,0.04895104895104895,0.09299948901379662,6
"['V4', 'V10', 'V14', 'V12', 'V8', 'V17', 'V20', 'V21']",0.9285714285714286,0.05569155446756426,0.10508083140877598,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V17', 'V20', 'V5']",0.9285714285714286,0.05874757908327954,0.11050394656952034,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V17', 'V11', 'V1']",0.9285714285714286,0.05998681608437706,0.11269349845201239,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V17', 'V11', 'V21']",0.9285714285714286,0.05867182462927144,0.11036992116434202,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V17', 'V11', 'V5']",0.9285714285714286,0.05810983397190294,0.109375,8
"['V4', 'V10', 'V14', 'V12', 'V8', 'V17', 'V11', 'V20']",0.9285714285714286,0.0603448275862069,0.1133250311332503,8
"['V4', 'V10', 'V16', 'V12', 'V11', 'V5', 'V21', 'V1']",0.9285714285714286,0.051238738738738736,0.09711846318036287,8
"['V4', 'V10', 'V12', 'V8', 'V17', 'V11']",0.9285714285714286,0.04751958224543081,0.09041231992051664,6
"['V4', 'V10', 'V12', 'V8', 'V17', 'V5']",0.9285714285714286,0.04874129619710766,0.0926208651399491,6
"['V4', 'V10', 'V16', 'V12', 'V17', 'V5', 'V21', 'V1']",0.9285714285714286,0.047769028871391075,0.090863704443335,8
"['V4', 'V10', 'V12', 'V8', 'V17', 'V21']",0.9285714285714286,0.04556835252879319,0.08687350835322195,6
"['V4', 'V10', 'V16', 'V12', 'V17', 'V11', 'V21', 'V1']",0.9285714285714286,0.04619289340101523,0.08800773694390715,8
"['V4', 'V10', 'V16', 'V12', 'V17', 'V11', 'V5', 'V1']",0.9285714285714286,0.04764397905759162,0.09063745019920319,8
"['V4', 'V10', 'V16', 'V12', 'V17', 'V11', 'V5', 'V21']",0.9285714285714286,0.050387596899224806,0.09558823529411764,8
"['V4', 'V10', 'V12', 'V8', 'V17', 'V1']",0.9285714285714286,0.04584382871536524,0.08737397983677389,6
"['V4', 'V10', 'V12', 'V8', 'V11', 'V5']",0.9285714285714286,0.04972677595628415,0.09439834024896265,6
"['V4', 'V10', 'V16', 'V12', 'V8', 'V5', 'V21', 'V1']",0.9285714285714286,0.04840425531914894,0.09201213346814964,8
"['V4', 'V10', 'V16', 'V12', 'V11', 'V21', 'V1']",0.9285714285714286,0.04986301369863014,0.09464378575143005,7
"['V4', 'V10', 'V12', 'V11', 'V5', 'V21']",0.9285714285714286,0.05352941176470588,0.10122358175750834,6
"['V4', 'V10', 'V12', 'V11', 'V5', 'V1']",0.9285714285714286,0.051354401805869074,0.09732620320855614,6
"['V4', 'V10', 'V12', 'V11', 'V21', 'V1']",0.9285714285714286,0.04986301369863014,0.09464378575143005,6
"['V12', 'V14', 'V4', 'V20']",0.9285714285714286,0.050980392156862744,0.09665427509293681,4
"['V12', 'V14', 'V4', 'V21']",0.9285714285714286,0.051066217732884396,0.09680851063829787,4
"['V12', 'V14', 'V4', 'V1', 'V2']",0.9285714285714286,0.05202973127501429,0.09853817000541419,5
"['V12', 'V14', 'V4', 'V1', 'V3']",0.9285714285714286,0.05100896860986547,0.09670563230605739,5
"['V12', 'V14', 'V4', 'V1', 'V5']",0.9285714285714286,0.05044345898004435,0.09568874868559411,5
"['V12', 'V14', 'V4', 'V1', 'V6']",0.9285714285714286,0.051209904333145755,0.09706666666666666,5
"['V12', 'V14', 'V4', 'V1', 'V7']",0.9285714285714286,0.05132543711223914,0.09727418492784608,5
"['V12', 'V14', 'V4', 'V1', 'V8']",0.9285714285714286,0.051094890510948905,0.09686003193187866,5
"['V12', 'V14', 'V4', 'V1', 'V9']",0.9285714285714286,0.0523590333716916,0.09912854030501089,5
"['V4', 'V14', 'V12', 'V8', 'V17', 'V11']",0.9285714285714286,0.056346749226006194,0.10624635143023935,6
"['V12', 'V14', 'V4', 'V1', 'V11']",0.9285714285714286,0.05788804071246819,0.1089820359281437,5
"['V4', 'V14', 'V12', 'V8', 'V17', 'V20']",0.9285714285714286,0.051066217732884396,0.09680851063829787,6
"['V12', 'V14', 'V4', 'V1', 'V17']",0.9285714285714286,0.05161656267725468,0.09779688339602365,5
"['V12', 'V14', 'V4', 'V1', 'V18']",0.9285714285714286,0.05112359550561798,0.09691160809371673,5
"['V12', 'V14', 'V4', 'V1', 'V19']",0.9285714285714286,0.051822323462414575,0.09816612729234088,5
"['V12', 'V14', 'V4', 'V1', 'V20']",0.9285714285714286,0.052479815455594,0.09934497816593886,5
"['V12', 'V14', 'V4', 'V1', 'V21']",0.9285714285714286,0.05188141391106044,0.09827213822894168,5
"['V12', 'V14', 'V4', 'V19']",0.9285714285714286,0.05066815144766147,0.09609292502639916,4
"['V12', 'V14', 'V4', 'V18']",0.9285714285714286,0.050387596899224806,0.09558823529411764,4
"['V12', 'V14', 'V4', 'V17']",0.9285714285714286,0.051181102362204724,0.09701492537313433,4
